State,Year,Transaction_Name,Transaction_count,Transaction_amount
Andaman and Nicobar Islands,2018,Financial Services,163,209454.7254758251
Andaman and Nicobar Islands,2018,Merchant payments,3267,6656385.756983974
Andaman and Nicobar Islands,2018,Others,1158,1327137.8264491647
Andaman and Nicobar Islands,2018,Peer-to-peer payments,22345,166922819.05068445
Andaman and Nicobar Islands,2018,Recharge & bill payments,31088,13960306.579112193
Andaman and Nicobar Islands,2019,Financial Services,296,684324.5046776269
Andaman and Nicobar Islands,2019,Merchant payments,12229,17644977.526329868
Andaman and Nicobar Islands,2019,Others,1075,1664368.2253759364
Andaman and Nicobar Islands,2019,Peer-to-peer payments,59495,421906749.9459152
Andaman and Nicobar Islands,2019,Recharge & bill payments,60009,31564336.75152623
Andaman and Nicobar Islands,2020,Financial Services,1778,3757547.550651199
Andaman and Nicobar Islands,2020,Merchant payments,83915,96539708.47717184
Andaman and Nicobar Islands,2020,Others,3304,2693239.720533413
Andaman and Nicobar Islands,2020,Peer-to-peer payments,160763,1106456632.44026
Andaman and Nicobar Islands,2020,Recharge & bill payments,196514,86976288.16801834
Andaman and Nicobar Islands,2021,Financial Services,4552,8996851.20813454
Andaman and Nicobar Islands,2021,Merchant payments,466737,682148030.40855
Andaman and Nicobar Islands,2021,Others,7787,6509404.991946144
Andaman and Nicobar Islands,2021,Peer-to-peer payments,716329,4036493940.9169664
Andaman and Nicobar Islands,2021,Recharge & bill payments,476648,191339853.1017153
Andaman and Nicobar Islands,2022,Financial Services,7518,10659836.623756923
Andaman and Nicobar Islands,2022,Merchant payments,2406479,2480734026.544963
Andaman and Nicobar Islands,2022,Others,12920,10741291.404672846
Andaman and Nicobar Islands,2022,Peer-to-peer payments,2171230,9246803318.572693
Andaman and Nicobar Islands,2022,Recharge & bill payments,839732,361318255.5755205
Andaman and Nicobar Islands,2023,Financial Services,6872,11568791.0
Andaman and Nicobar Islands,2023,Merchant payments,4190564,3458507423.0
Andaman and Nicobar Islands,2023,Others,10143,8801438.0
Andaman and Nicobar Islands,2023,Peer-to-peer payments,2944083,10721805389.0
Andaman and Nicobar Islands,2023,Recharge & bill payments,930881,462786573.0
Andhra Pradesh,2018,Financial Services,1211087,231728758.55529416
Andhra Pradesh,2018,Merchant payments,4815066,3040946007.1762133
Andhra Pradesh,2018,Others,1455713,1215178426.3788702
Andhra Pradesh,2018,Peer-to-peer payments,41504323,110726013552.87888
Andhra Pradesh,2018,Recharge & bill payments,28792923,6858147925.523041
Andhra Pradesh,2019,Financial Services,789567,130351629.07369262
Andhra Pradesh,2019,Merchant payments,55974376,28400639378.62382
Andhra Pradesh,2019,Others,1562174,1161068783.683234
Andhra Pradesh,2019,Peer-to-peer payments,166120392,484681174354.93256
Andhra Pradesh,2019,Recharge & bill payments,72733745,23418140272.57815
Andhra Pradesh,2020,Financial Services,724737,750257829.50139
Andhra Pradesh,2020,Merchant payments,202021804,148622386673.7519
Andhra Pradesh,2020,Others,1238407,736752067.7511024
Andhra Pradesh,2020,Peer-to-peer payments,397857749,1458921204981.9297
Andhra Pradesh,2020,Recharge & bill payments,161774002,68215979100.93192
Andhra Pradesh,2021,Financial Services,923714,1165775879.3800936
Andhra Pradesh,2021,Merchant payments,576625412,430373933715.0534
Andhra Pradesh,2021,Others,2004364,1530020373.1673124
Andhra Pradesh,2021,Peer-to-peer payments,822215384,3126657566983.876
Andhra Pradesh,2021,Recharge & bill payments,195032783,103937354981.4812
Andhra Pradesh,2022,Financial Services,818051,1060085809.7743442
Andhra Pradesh,2022,Merchant payments,1147227641,789663018618.5854
Andhra Pradesh,2022,Others,1777761,1494580783.735336
Andhra Pradesh,2022,Peer-to-peer payments,1224388903,4631452220985.94
Andhra Pradesh,2022,Recharge & bill payments,212397697,160307181313.5737
Andhra Pradesh,2023,Financial Services,966267,1184095690.0
Andhra Pradesh,2023,Merchant payments,1925248864,1056251720691.0
Andhra Pradesh,2023,Others,1202736,1249768790.0
Andhra Pradesh,2023,Peer-to-peer payments,1711588893,6088570968573.0
Andhra Pradesh,2023,Recharge & bill payments,287347071,261247947800.0
Arunachal Pradesh,2018,Financial Services,2043,595387.3126647631
Arunachal Pradesh,2018,Merchant payments,15884,24643996.302092616
Arunachal Pradesh,2018,Others,8294,8167551.124418727
Arunachal Pradesh,2018,Peer-to-peer payments,157706,1041403760.60506
Arunachal Pradesh,2018,Recharge & bill payments,251302,52313268.840371296
Arunachal Pradesh,2019,Financial Services,1701,670752.665353499
Arunachal Pradesh,2019,Merchant payments,62711,66053462.29789399
Arunachal Pradesh,2019,Others,10419,13451662.551853767
Arunachal Pradesh,2019,Peer-to-peer payments,511338,3213967608.0325813
Arunachal Pradesh,2019,Recharge & bill payments,728702,171680709.4444484
Arunachal Pradesh,2020,Financial Services,5290,9415572.440025069
Arunachal Pradesh,2020,Merchant payments,306473,319828123.4629395
Arunachal Pradesh,2020,Others,11284,11456141.145187493
Arunachal Pradesh,2020,Peer-to-peer payments,1343727,8510915084.237163
Arunachal Pradesh,2020,Recharge & bill payments,1881131,537063180.4336318
Arunachal Pradesh,2021,Financial Services,7460,12715642.374353945
Arunachal Pradesh,2021,Merchant payments,1235446,1642732214.4036448
Arunachal Pradesh,2021,Others,16915,15491817.183361724
Arunachal Pradesh,2021,Peer-to-peer payments,3542859,18517785934.172165
Arunachal Pradesh,2021,Recharge & bill payments,2240679,703113615.7876654
Arunachal Pradesh,2022,Financial Services,10133,15971889.068133183
Arunachal Pradesh,2022,Merchant payments,4850450,5255518232.488116
Arunachal Pradesh,2022,Others,21345,16112256.589693585
Arunachal Pradesh,2022,Peer-to-peer payments,7373373,29431218697.099277
Arunachal Pradesh,2022,Recharge & bill payments,2677819,950956409.6188693
Arunachal Pradesh,2023,Financial Services,12359,23491556.0
Arunachal Pradesh,2023,Merchant payments,12466134,10731422859.0
Arunachal Pradesh,2023,Others,19552,15408725.0
Arunachal Pradesh,2023,Peer-to-peer payments,14652757,45217817254.0
Arunachal Pradesh,2023,Recharge & bill payments,4054944,1339527810.0
Assam,2018,Financial Services,91657,23061403.2067323
Assam,2018,Merchant payments,946614,445215202.35252315
Assam,2018,Others,202164,132369415.3977328
Assam,2018,Peer-to-peer payments,2971466,11766752413.695467
Assam,2018,Recharge & bill payments,4594876,840149006.0251889
Assam,2019,Financial Services,52043,18545387.957872625
Assam,2019,Merchant payments,2126298,1471187760.8402107
Assam,2019,Others,217658,170347539.10126287
Assam,2019,Peer-to-peer payments,10205762,43245813856.09161
Assam,2019,Recharge & bill payments,10089254,2283601697.5246706
Assam,2020,Financial Services,84705,85952106.19682121
Assam,2020,Merchant payments,5310460,5383839365.169039
Assam,2020,Others,237607,153544154.56532234
Assam,2020,Peer-to-peer payments,20883497,98995678451.28856
Assam,2020,Recharge & bill payments,20618955,5873716975.237227
Assam,2021,Financial Services,183923,196743345.2035352
Assam,2021,Merchant payments,28348927,30159486080.180027
Assam,2021,Others,487109,266196435.07391033
Assam,2021,Peer-to-peer payments,58129049,247930916399.4876
Assam,2021,Recharge & bill payments,37320759,11851062829.364178
Assam,2022,Financial Services,258697,267649899.5112337
Assam,2022,Merchant payments,125930661,107990195044.58527
Assam,2022,Others,613469,325016966.3658864
Assam,2022,Peer-to-peer payments,142864713,510643366973.9166
Assam,2022,Recharge & bill payments,55652149,20307849337.551945
Assam,2023,Financial Services,269417,290305993.0
Assam,2023,Merchant payments,193517074,136465274792.0
Assam,2023,Others,293160,210130320.0
Assam,2023,Peer-to-peer payments,173051266,534348939405.0
Assam,2023,Recharge & bill payments,52496025,20208319762.0
Bihar,2018,Financial Services,973485,148807833.93915355
Bihar,2018,Merchant payments,2717898,1674976832.3509433
Bihar,2018,Others,1000149,1038336318.2922952
Bihar,2018,Peer-to-peer payments,22488047,62356988677.22676
Bihar,2018,Recharge & bill payments,17377306,2866581167.3590727
Bihar,2019,Financial Services,524481,130899069.46139684
Bihar,2019,Merchant payments,19146315,10924207516.72648
Bihar,2019,Others,1098235,1087922300.1475701
Bihar,2019,Peer-to-peer payments,74428450,245377770818.47147
Bihar,2019,Recharge & bill payments,36789446,8120675925.349433
Bihar,2020,Financial Services,353903,260173814.84016216
Bihar,2020,Merchant payments,56362576,48620426927.52668
Bihar,2020,Others,1087837,586328934.1690853
Bihar,2020,Peer-to-peer payments,136463003,578267298717.2006
Bihar,2020,Recharge & bill payments,72296659,22563627010.644745
Bihar,2021,Financial Services,596114,532743544.60315686
Bihar,2021,Merchant payments,238733619,209208927133.64328
Bihar,2021,Others,2091169,993169133.543909
Bihar,2021,Peer-to-peer payments,347387097,1316951196424.0068
Bihar,2021,Recharge & bill payments,114526158,44302243677.18375
Bihar,2022,Financial Services,679443,625488571.838547
Bihar,2022,Merchant payments,715232544,532728926658.30054
Bihar,2022,Others,2483877,1081931059.5928807
Bihar,2022,Peer-to-peer payments,719997309,2483090776330.6865
Bihar,2022,Recharge & bill payments,160594324,75804664309.6153
Bihar,2023,Financial Services,676699,626287160.0
Bihar,2023,Merchant payments,944145095,596104341804.0
Bihar,2023,Others,1665558,729766473.0
Bihar,2023,Peer-to-peer payments,851073496,2725014070235.0
Bihar,2023,Recharge & bill payments,168442192,91002603028.0
Chandigarh,2018,Financial Services,38050,8887193.047460856
Chandigarh,2018,Merchant payments,256301,180456817.61963895
Chandigarh,2018,Others,59316,59503658.70414592
Chandigarh,2018,Peer-to-peer payments,1056582,4374784414.050397
Chandigarh,2018,Recharge & bill payments,972782,352972638.50499624
Chandigarh,2019,Financial Services,17360,3206013.4215095853
Chandigarh,2019,Merchant payments,1456494,795225766.7306243
Chandigarh,2019,Others,86892,48520743.13328292
Chandigarh,2019,Peer-to-peer payments,2944332,10865737090.621225
Chandigarh,2019,Recharge & bill payments,1379326,798654441.082034
Chandigarh,2020,Financial Services,9360,15042668.512025781
Chandigarh,2020,Merchant payments,3274398,2313196029.2303886
Chandigarh,2020,Others,54325,27333254.41757619
Chandigarh,2020,Peer-to-peer payments,3995462,16765097788.767525
Chandigarh,2020,Recharge & bill payments,1527778,1089371313.4931722
Chandigarh,2021,Financial Services,23351,33515612.56198173
Chandigarh,2021,Merchant payments,10961740,7888012729.905306
Chandigarh,2021,Others,76509,53066237.01399714
Chandigarh,2021,Peer-to-peer payments,8367621,31995929570.67353
Chandigarh,2021,Recharge & bill payments,3506844,2233037164.639045
Chandigarh,2022,Financial Services,33547,44401999.12139723
Chandigarh,2022,Merchant payments,28484839,18468255881.79336
Chandigarh,2022,Others,84639,58106410.64176447
Chandigarh,2022,Peer-to-peer payments,16877425,58501749766.09604
Chandigarh,2022,Recharge & bill payments,5275543,3825489954.9037013
Chandigarh,2023,Financial Services,27181,43767135.0
Chandigarh,2023,Merchant payments,23058081,11535332889.0
Chandigarh,2023,Others,33514,28152375.0
Chandigarh,2023,Peer-to-peer payments,9093532,28532560118.0
Chandigarh,2023,Recharge & bill payments,2209149,2526273938.0
Chhattisgarh,2018,Financial Services,147427,32661555.49488163
Chhattisgarh,2018,Merchant payments,839512,646861319.9362156
Chhattisgarh,2018,Others,328405,256912156.24328786
Chhattisgarh,2018,Peer-to-peer payments,5446362,19639407371.053463
Chhattisgarh,2018,Recharge & bill payments,7171412,1556203336.0883667
Chhattisgarh,2019,Financial Services,87824,18521808.040856957
Chhattisgarh,2019,Merchant payments,8818717,3824333960.2189574
Chhattisgarh,2019,Others,357313,264941768.9118506
Chhattisgarh,2019,Peer-to-peer payments,20682041,68524110331.00456
Chhattisgarh,2019,Recharge & bill payments,15880588,3862052110.641429
Chhattisgarh,2020,Financial Services,108611,112416454.34064448
Chhattisgarh,2020,Merchant payments,25351290,16983633896.199364
Chhattisgarh,2020,Others,350321,207526175.26571625
Chhattisgarh,2020,Peer-to-peer payments,39317765,141549132892.53873
Chhattisgarh,2020,Recharge & bill payments,32895104,10017989551.39579
Chhattisgarh,2021,Financial Services,171662,195309440.90210676
Chhattisgarh,2021,Merchant payments,98670842,72679352638.85794
Chhattisgarh,2021,Others,608299,399351375.82479
Chhattisgarh,2021,Peer-to-peer payments,92255076,300457831856.58655
Chhattisgarh,2021,Recharge & bill payments,41375410,15411987990.195776
Chhattisgarh,2022,Financial Services,213918,245080177.44467458
Chhattisgarh,2022,Merchant payments,291091739,186480111687.1171
Chhattisgarh,2022,Others,745410,516532719.5894797
Chhattisgarh,2022,Peer-to-peer payments,201092089,596628902880.7544
Chhattisgarh,2022,Recharge & bill payments,57067217,27838834046.17059
Chhattisgarh,2023,Financial Services,245658,287498439.0
Chhattisgarh,2023,Merchant payments,415186427,232438339470.0
Chhattisgarh,2023,Others,583408,440059622.0
Chhattisgarh,2023,Peer-to-peer payments,260700002,715581727477.0
Chhattisgarh,2023,Recharge & bill payments,71457755,35877837731.0
Dadra and Nagar Haveli and Daman and Diu,2018,Financial Services,8833,1406300.232880853
Dadra and Nagar Haveli and Daman and Diu,2018,Merchant payments,28279,31537231.59967175
Dadra and Nagar Haveli and Daman and Diu,2018,Others,19062,20548238.29442904
Dadra and Nagar Haveli and Daman and Diu,2018,Peer-to-peer payments,427374,1392742786.122863
Dadra and Nagar Haveli and Daman and Diu,2018,Recharge & bill payments,561284,137884811.9945859
Dadra and Nagar Haveli and Daman and Diu,2019,Financial Services,3945,1069020.917084217
Dadra and Nagar Haveli and Daman and Diu,2019,Merchant payments,211849,113856221.60379392
Dadra and Nagar Haveli and Daman and Diu,2019,Others,21248,19209974.349944953
Dadra and Nagar Haveli and Daman and Diu,2019,Peer-to-peer payments,1227007,3364846760.7326646
Dadra and Nagar Haveli and Daman and Diu,2019,Recharge & bill payments,1095143,356941810.870896
Dadra and Nagar Haveli and Daman and Diu,2020,Financial Services,6582,4874874.945601562
Dadra and Nagar Haveli and Daman and Diu,2020,Merchant payments,1144856,595659817.8063039
Dadra and Nagar Haveli and Daman and Diu,2020,Others,17838,10851229.61608268
Dadra and Nagar Haveli and Daman and Diu,2020,Peer-to-peer payments,1739433,5726365383.646458
Dadra and Nagar Haveli and Daman and Diu,2020,Recharge & bill payments,1899125,757688732.993998
Dadra and Nagar Haveli and Daman and Diu,2021,Financial Services,9043,9105224.676296417
Dadra and Nagar Haveli and Daman and Diu,2021,Merchant payments,4834634,2563773141.4144096
Dadra and Nagar Haveli and Daman and Diu,2021,Others,30832,18297795.43125061
Dadra and Nagar Haveli and Daman and Diu,2021,Peer-to-peer payments,4452371,12433772254.42593
Dadra and Nagar Haveli and Daman and Diu,2021,Recharge & bill payments,2010002,970131445.78669
Dadra and Nagar Haveli and Daman and Diu,2022,Financial Services,9155,11156562.478491228
Dadra and Nagar Haveli and Daman and Diu,2022,Merchant payments,14046870,6359445019.29199
Dadra and Nagar Haveli and Daman and Diu,2022,Others,33787,17322313.93448208
Dadra and Nagar Haveli and Daman and Diu,2022,Peer-to-peer payments,7909046,20874107814.062325
Dadra and Nagar Haveli and Daman and Diu,2022,Recharge & bill payments,2218922,1550464543.8865058
Dadra and Nagar Haveli and Daman and Diu,2023,Financial Services,13103,12555229.0
Dadra and Nagar Haveli and Daman and Diu,2023,Merchant payments,25099103,9479225700.0
Dadra and Nagar Haveli and Daman and Diu,2023,Others,36559,16224899.0
Dadra and Nagar Haveli and Daman and Diu,2023,Peer-to-peer payments,12217687,29526517333.0
Dadra and Nagar Haveli and Daman and Diu,2023,Recharge & bill payments,3164976,2426172690.0
Delhi,2018,Financial Services,881761,215386312.25509796
Delhi,2018,Merchant payments,14944172,4793843378.440203
Delhi,2018,Others,2703071,1592290834.4462848
Delhi,2018,Peer-to-peer payments,24453938,78533239621.63013
Delhi,2018,Recharge & bill payments,21248302,10621748041.678354
Delhi,2019,Financial Services,509993,114446823.34176317
Delhi,2019,Merchant payments,96758108,33535296397.654816
Delhi,2019,Others,11807209,3316888776.9173584
Delhi,2019,Peer-to-peer payments,99028669,301966562610.9383
Delhi,2019,Recharge & bill payments,46357733,33464032715.62091
Delhi,2020,Financial Services,311870,389664491.44369024
Delhi,2020,Merchant payments,154470434,80143840960.77702
Delhi,2020,Others,4639586,1547026348.247688
Delhi,2020,Peer-to-peer payments,150697299,506834804000.7736
Delhi,2020,Recharge & bill payments,54702711,44003697073.883194
Delhi,2021,Financial Services,654949,901737734.3911734
Delhi,2021,Merchant payments,412691380,235792331316.8551
Delhi,2021,Others,4740256,2325590260.985046
Delhi,2021,Peer-to-peer payments,336128314,1108421012209.7922
Delhi,2021,Recharge & bill payments,104745336,73982401816.68279
Delhi,2022,Financial Services,779868,1045399361.1225457
Delhi,2022,Merchant payments,990124999,507277649895.8919
Delhi,2022,Others,3659318,2045927611.4788578
Delhi,2022,Peer-to-peer payments,601109940,1964488965154.2205
Delhi,2022,Recharge & bill payments,136755538,114490292406.48409
Delhi,2023,Financial Services,702029,1017503887.0
Delhi,2023,Merchant payments,894389904,386753310384.0
Delhi,2023,Others,1351651,1130444258.0
Delhi,2023,Peer-to-peer payments,455104057,1483307846790.0
Delhi,2023,Recharge & bill payments,87051443,109121771356.0
Goa,2018,Financial Services,7484,2445305.6673417985
Goa,2018,Merchant payments,87509,124499199.5420882
Goa,2018,Others,27640,28234169.3145758
Goa,2018,Peer-to-peer payments,544252,2349038014.1684093
Goa,2018,Recharge & bill payments,577853,144415927.16992283
Goa,2019,Financial Services,6231,2947509.5939991022
Goa,2019,Merchant payments,580590,511173218.49470747
Goa,2019,Others,42043,50096122.114004225
Goa,2019,Peer-to-peer payments,1926513,6891814695.90387
Goa,2019,Recharge & bill payments,1559564,534986494.55392146
Goa,2020,Financial Services,17115,21950349.740760937
Goa,2020,Merchant payments,2431182,1944051354.0471005
Goa,2020,Others,39153,35442302.87588292
Goa,2020,Peer-to-peer payments,3620126,12749467783.24395
Goa,2020,Recharge & bill payments,2972665,1111212200.557435
Goa,2021,Financial Services,36098,54623930.72765989
Goa,2021,Merchant payments,12405180,9707273928.215847
Goa,2021,Others,64076,57038368.091924205
Goa,2021,Peer-to-peer payments,11071420,35237861630.14885
Goa,2021,Recharge & bill payments,4021432,1818981317.7191744
Goa,2022,Financial Services,44482,59039630.76836602
Goa,2022,Merchant payments,32091542,22269592405.867023
Goa,2022,Others,60604,58593017.10716871
Goa,2022,Peer-to-peer payments,19839703,62025103804.09909
Goa,2022,Recharge & bill payments,4775182,2776405951.5701447
Goa,2023,Financial Services,50983,84065111.0
Goa,2023,Merchant payments,46829599,29586740797.0
Goa,2023,Others,46842,46849260.0
Goa,2023,Peer-to-peer payments,25151372,77494691353.0
Goa,2023,Recharge & bill payments,5646592,3672006171.0
Gujarat,2018,Financial Services,533204,122214821.0105032
Gujarat,2018,Merchant payments,2650756,2077604054.5509849
Gujarat,2018,Others,989502,743480577.9382441
Gujarat,2018,Peer-to-peer payments,15997607,52808575612.814445
Gujarat,2018,Recharge & bill payments,19590891,6686183489.418991
Gujarat,2019,Financial Services,327148,77641102.4563318
Gujarat,2019,Merchant payments,29732284,13514210121.545986
Gujarat,2019,Others,1693298,927098693.0719559
Gujarat,2019,Peer-to-peer payments,59649801,186768984882.57098
Gujarat,2019,Recharge & bill payments,43347043,20042117747.281013
Gujarat,2020,Financial Services,316019,285372519.27223814
Gujarat,2020,Merchant payments,68606874,48001487392.281715
Gujarat,2020,Others,1161804,625735586.4962833
Gujarat,2020,Peer-to-peer payments,89735473,343002220296.9244
Gujarat,2020,Recharge & bill payments,72045158,35782919783.570595
Gujarat,2021,Financial Services,555587,646251066.2875278
Gujarat,2021,Merchant payments,226189787,176970461826.21875
Gujarat,2021,Others,1730918,1166794749.6428087
Gujarat,2021,Peer-to-peer payments,201505778,769654603602.5913
Gujarat,2021,Recharge & bill payments,108869623,60431930188.04314
Gujarat,2022,Financial Services,616757,686251121.6579392
Gujarat,2022,Merchant payments,581056339,409753014702.044
Gujarat,2022,Others,1777665,1160203328.965925
Gujarat,2022,Peer-to-peer payments,382095722,1389776464471.185
Gujarat,2022,Recharge & bill payments,141449209,103325967152.52795
Gujarat,2023,Financial Services,617516,736760541.0
Gujarat,2023,Merchant payments,718408138,414275497369.0
Gujarat,2023,Others,1178358,812753423.0
Gujarat,2023,Peer-to-peer payments,404697389,1414725760913.0
Gujarat,2023,Recharge & bill payments,133836068,120419661535.0
Haryana,2018,Financial Services,517369,105223284.89185649
Haryana,2018,Merchant payments,3954235,1948426874.6370435
Haryana,2018,Others,975211,917200146.9851415
Haryana,2018,Peer-to-peer payments,13655159,52407106423.82262
Haryana,2018,Recharge & bill payments,12741934,4501984250.523782
Haryana,2019,Financial Services,262465,57753171.25405882
Haryana,2019,Merchant payments,30102724,12454694478.506535
Haryana,2019,Others,2749534,1074362904.1571786
Haryana,2019,Peer-to-peer payments,50514894,169319981036.26776
Haryana,2019,Recharge & bill payments,29417490,15495243013.20562
Haryana,2020,Financial Services,234585,258596248.1638347
Haryana,2020,Merchant payments,80763502,47992456606.03352
Haryana,2020,Others,1336171,572278686.259896
Haryana,2020,Peer-to-peer payments,93106842,352423028052.7152
Haryana,2020,Recharge & bill payments,51485655,31007574701.284874
